#BIN_ID   LOW_M100   UPP_M100   LOW_M10   UPP_M10
1         11.60      11.65      11.10     11.28
2         11.60      11.65      11.28     11.35
3         11.60      11.65      11.35     11.50
4         11.65      11.70      11.10     11.28
5         11.65      11.70      11.28     11.35
6         11.65      11.70      11.35     11.50
7         11.70      11.75      11.12     11.30
8         11.70      11.75      11.30     11.40
9         11.70      11.75      11.40     11.55
10        11.75      11.80      11.12     11.35
11        11.75      11.80      11.35     11.43
12        11.75      11.80      11.43     11.60
13        11.80      11.86      11.12     11.38
14        11.80      11.86      11.38     11.45
15        11.80      11.86      11.45     11.60
16        11.86      11.93      11.12     11.44
17        11.86      11.93      11.44     11.65
18        11.93      12.14      11.12     11.51
19        11.93      12.14      11.51     11.85
