# Gal-gal lensing. Delta_Sigma(R) vs R, linear approximation
# Resampling: jackknife (32 samples)
# Coordinates: physical
# Cosmolgy: H0 = 70, Omega_M = 0.307115, Omega_L = 0.692885
#  R(Mpc)  SigR(Msun/pc^2) err(weights) err(resampling) Nsources       <R>          e2
   0.1230172  179.7886921   81.8220986          nan             181    0.1265656 -160.8542737
   0.1861646  254.9523923   52.4195267          nan             435    0.1920291   41.0113125
   0.2817269  205.1229002   36.9092563          nan             887    0.2898152  -36.3499460
   0.4263435   62.8155161   23.9882591          nan            2058    0.4392095  -11.0885898
   0.6451950   82.8487017   16.3430404          nan            4424    0.6616609    2.1300819
   0.9763878   45.7527439   11.1189184          nan            9485    1.0028666   -4.5236132
   1.4775891   33.2711606    7.3212929          nan           21982    1.5234352    0.4710693
   2.2360680   13.5618627    4.8532483          nan           50200    2.2969944    9.6475324
   3.3838908   11.8216504    3.3033623          nan          108011    3.4738213   -1.3330894
   5.1209162    8.5950297    2.1895291          nan          244732    5.2683775   -3.4100159
   7.7495949    6.0271986    1.4483844          nan          558757    7.9601316   -0.6375919
  11.7276322    3.1894662    0.9754625          nan         1232705   12.0369432   -0.6355320
  17.7476833    3.7223529    0.6867802          nan         2495189   18.1504764    1.1646386
  26.8579588    2.3313927    0.5146261          nan         4478358   27.3173968   -0.0146522
  40.6447389    1.6415653    0.4279069          nan         6491076   41.0412276   -3.0279919
